フラグ,コード,歌手,タイトル,リンク
FIX,1,BGM,"深夜ジャズ 1",QyzK21nx70o
FIX,2,BGM,"深夜ジャズ 2",vh4TWlwYfLc
FIX,3,BGM,"静寂ピアノ 1",g_NQsSxaPpw
FIX,4,BGM,"静寂ピアノ 2",biHxC8IkeVQ
FIX,5,BGM,"夜のLo-Fi 1",ZBrmNO92OTI
FIX,6,BGM,"夜のLo-Fi 2",cIZhlFIyJ_Y
FIX,7,70s,"70's フォーク",qeaiWwQwwMo
FIX,8,昭和,昭和歌謡曲,SJ-CyDbxH9I
FIX,9,演歌,演歌・酒場唄,tHk7TBoCZ8E
FIX,10,歌姫,歌姫特撰,NoCs-3cxA4I
SIGNAL,100,ソフィー,みずいろのシグナル,2vfCbdmKhMw
E,111,美空ひばり,川の流れのように,https://www.youtube.com/watch?v=dSslJ60qBbU
E,112,美空ひばり,愛燦燦,https://www.youtube.com/watch?v=uYK1roeKZXs
E,113,美空ひばり,真赤な太陽,https://www.youtube.com/watch?v=IKSJvsvO6Yg
E,114,美空ひばり,悲しい酒,https://www.youtube.com/watch?v=DBpqqhORgYQ
E,115,美空ひばり,人生一路,https://www.youtube.com/watch?v=FF1TK_bqSR4
E,116,美空ひばり,35周年記念リサイタル・武道館ライブ,https://www.youtube.com/watch?v=C_cbsuPacIQ
E,121,石川さゆり,津軽海峡・冬景色,https://www.youtube.com/watch?v=QhGJQcN70gU
E,122,石川さゆり,天城越え,https://www.youtube.com/watch?v=jVkQm4Fpui8
E,123,石川さゆり,ウイスキーがお好きでしょ,https://www.youtube.com/watch?v=1EIfjyi9Lv0
E,124,石川さゆり,能登半島,https://www.youtube.com/watch?v=c3GRMAdnCwY
E,125,石川さゆり,風の盆恋歌,https://www.youtube.com/watch?v=EM70pP397Qo
E,126,石川さゆり,曽根崎心中（15周年記念）,https://www.youtube.com/watch?v=4fFgxnvhlLY
E,127,石川さゆり,"夢～大阪つばめ 1991",https://www.youtube.com/watch?v=EHYKg-0n2q0
E,128,石川さゆり,"夫婦善哉 1987",https://www.youtube.com/watch?v=cCzkQn11704
E,129,石川さゆり,"石川さゆり 2021 スタートコンサート",https://www.youtube.com/watch?v=bi3jbSPHmSc
E,131,藤圭子,圭子の夢は夜ひらく,https://www.youtube.com/watch?v=oSJhlPyVqMY
E,132,藤圭子,新宿の女,https://www.youtube.com/watch?v=47XPXt-GEac
E,133,藤圭子,命預けます,https://www.youtube.com/watch?v=tA7a9V3gU5M
E,134,藤圭子,京都から博多まで,https://www.youtube.com/watch?v=VwoJ58Xqz1c
E,135,藤圭子,女のブルース,https://www.youtube.com/watch?v=984SLLvdahw
E,136,藤圭子,"「藤 圭子」代表曲メドレー",https://www.youtube.com/watch?v=tTQB1-WowsY
E,137,藤圭子,"1970年 日本歌謡大賞 受賞映像",https://www.youtube.com/watch?v=iwJRp-fWP2k
E,141,北島三郎,北の漁場,https://www.youtube.com/watch?v=dNRx63SBNdE
E,142,北島三郎,まつり,https://www.youtube.com/watch?v=VGSQxaZY9R4
E,143,北島三郎,与作,https://www.youtube.com/watch?v=R45N2MCI85g
E,144,北島三郎,風雪ながれ旅,https://www.youtube.com/watch?v=jSSJOV-utIM
E,145,北島三郎,函館の女,https://www.youtube.com/watch?v=z_4w5xTNJQU
E,146,北島三郎,帰ろかな,https://www.youtube.com/watch?v=epJNtSZ5mWI
E,147,北島三郎,兄弟仁義,https://www.youtube.com/watch?v=heb1TCio0zM
E,151,都はるみ,北の宿から,http://www.youtube.com/watch?v=tA4QR2iwAFk
E,152,都はるみ,好きになった人,http://www.youtube.com/watch?v=UMwm_BZ7Jpw
E,153,都はるみ,大阪しぐれ,http://www.youtube.com/watch?v=RLelC5By3so
E,154,都はるみ,難波恋しぐれ,https://www.youtube.com/watch?v=o8HaWWi8908
E,155,都はるみ,アンコ椿は恋の花,http://www.youtube.com/watch?v=hXBGGvEjsQQ
E,156,都はるみ,涙の連絡船,https://www.youtube.com/watch?v=kf3aWZjrMeY
E,157,都はるみ,小樽運河,http://www.youtube.com/watch?v=MXwlTjf3ZZQ
E,158,都はるみ,古都逍遥,https://www.youtube.com/watch?v=jlcvgLrFwwI
E,159,都はるみ,"さようならコンサート 1984年",http://www.youtube.com/watch?v=3_cw1xxHX6I
E,160,都はるみ,"都はるみ - スペシャルライブ映像",https://www.youtube.com/watch?v=YTETwBQc6M0
E,161,五木ひろし,千曲川,https://www.youtube.com/watch?v=C0_S7JD7DbA
E,162,五木ひろし,長良川艶歌,https://www.youtube.com/watch?v=kqiJT0LW-aA
E,163,五木ひろし,よこはま・たそがれ,http://www.youtube.com/watch?v=qzqeBT0cG3M
E,164,五木ひろし,細雪,http://www.youtube.com/watch?v=sVlbwF47mhY
E,165,五木ひろし,山河,http://www.youtube.com/watch?v=uS4Uu1zmv-I
E,166,五木ひろし,"1991年 NHK名場面集",http://www.youtube.com/watch?v=kqiJT0LW-aA
E,167,五木ひろし,"コンサートinブラジル (2015)",http://www.youtube.com/watch?v=297aBfPEemQ
E,191,YAKUZAソング,"花と竜　　　　　　　　　 村田英雄",https://www.youtube.com/watch?v=B0zcFtzqKWw
E,192,YAKUZAソング,"王将　　　　　　　　　　 村田英雄",https://www.youtube.com/watch?v=yOQes-CyAcg
E,193,YAKUZAソング,"旅姿三人男　　　　　　　 ディックミネ",https://www.youtube.com/watch?v=vtF858Alxvk
E,194,YAKUZAソング,"会津の小鉄　　　　　　　 京山幸枝若",https://www.youtube.com/watch?v=X2WiYtxpCWk
E,195,YAKUZAソング,"神奈川水滸伝　　　　　　 北島三郎",https://www.youtube.com/watch?v=lpLxuA36lsA
E,196,YAKUZAソング,"唐獅子牡丹　　　　　　　 高倉健",https://www.youtube.com/watch?v=LmzVr4W_p1s
E,197,YAKUZAソング,"緋牡丹博徒　　　　　　　 藤純子",https://www.youtube.com/watch?v=jB5N8DxDz24
E,198,YAKUZAソング,"傷だらけの人生　　　　　 鶴田浩二",https://www.youtube.com/watch?v=8lXOiTTsrJY
E,199,YAKUZAソング,懐かしの任侠・股旅流行歌,https://www.youtube.com/watch?v=nuS7vtiJqRA
J,201,テレサ・テン,時の流れに身をまかせ,http://www.youtube.com/watch?v=PWP_PXXb2Rc
J,202,テレサ・テン,つぐない,http://www.youtube.com/watch?v=Dm_HcJj9i4g
J,203,テレサ・テン,愛人,http://www.youtube.com/watch?v=Km0tMGHIAHU
J,204,テレサ・テン,空港,http://www.youtube.com/watch?v=Vr6AxVGpTC0
J,205,テレサ・テン,何日君再来,https://www.youtube.com/watch?v=wGtRsEgKuFU
J,206,テレサ・テン,"テレサ・テン メモリアルTV",http://www.youtube.com/watch?v=Ay2iO-rBgQQ
J,207,テレサ・テン,"1985 NHKホール コンサートメドレー",http://www.youtube.com/watch?v=opdo4Qux1tI
J,211,八代亜紀,なみだ恋,https://www.youtube.com/watch?v=8NxNJbODJW8
J,212,八代亜紀,舟唄,http://www.youtube.com/watch?v=yGI0QZ4Gk34
